 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  111 , כפר כמא ,,  -   ,  -   ,  17 ,  17 ,  -   ,  -   ,"  1,451,806 ","  1,451,806 ",,,"  35,934 ","  22,818 ","  85,477 "
  501 , באקה אל גרבייה ,,  -   ,  -   ,  17 ,  17 ,  -   ,  -   ,"  1,430,272 ","  1,430,272 ",,,"  35,934 ","  22,818 ","  85,477 "
  158 , סח'נין ,,  -   ,  -   ,  16 ,  16 ,  -   ,  -   ,"  1,383,116 ","  1,383,116 ",,,"  35,934 ","  22,818 ","  85,477 "
  71 , בית שאן ,,  -   ,  -   ,  16 ,  16 ,  -   ,  -   ,"  1,380,759 ","  1,380,759 ",,,"  35,934 ","  22,818 ","  85,477 "
  127 , מר'אר ,,  -   ,  -   ,  16 ,  16 ,  -   ,  -   ,"  1,337,972 ","  1,337,972 ",,,"  35,934 ","  22,818 ","  85,477 "
  215 , מיתר ,,  -   ,  -   ,  15 ,  15 ,  -   ,  -   ,"  1,260,059 ","  1,260,059 ",,,"  35,934 ","  22,818 ","  85,477 "
  363 , קרית עקרון ,,  -   ,  -   ,  15 ,  15 ,  -   ,  -   ,"  1,254,329 ","  1,254,329 ",,,"  35,934 ","  22,818 ","  85,477 "
  216 , מצפה רמון ,,  -   ,  -   ,  14 ,  14 ,  -   ,  -   ,"  1,220,663 ","  1,220,663 ",,,"  35,934 ","  22,818 ","  85,477 "
  141 , מעלות-תרשיחא ,,  -   ,  -   ,  14 ,  14 ,  -   ,  -   ,"  1,204,859 ","  1,204,859 ",,,"  35,934 ","  22,818 ","  85,477 "
  364 , קלנסווה ,,  -   ,  -   ,  14 ,  14 ,  -   ,  -   ,"  1,196,114 ","  1,196,114 ",,,"  35,934 ","  22,818 ","  85,477 "
  193 , אופקים ,,  11 ,  -   ,  3 ,  14 ,"  394,453 ",  -   ,"  240,756 ","  635,209 ",,,"  35,934 ","  22,818 ","  85,477 "
  150 , משהד ,,  -   ,  -   ,  14 ,  14 ,  -   ,  -   ,"  1,163,444 ","  1,163,444 ",,,"  35,934 ","  22,818 ","  85,477 "
  72 , בסמת טבעון ,,  -   ,  -   ,  13 ,  13 ,  -   ,  -   ,"  1,124,751 ","  1,124,751 ",,,"  35,934 ","  22,818 ","  85,477 "
  408 , אלעד ,,  -   ,  -   ,  13 ,  13 ,  -   ,  -   ,"  1,091,897 ","  1,091,897 ",,,"  35,934 ","  22,818 ","  85,477 "
  128 , מגדל ,,  -   ,  -   ,  13 ,  13 ,  -   ,  -   ,"  1,085,032 ","  1,085,032 ",,,"  35,934 ","  22,818 ","  85,477 "
  288 , כפר קרע ,,  -   ,  -   ,  13 ,  13 ,  -   ,  -   ,"  1,084,881 ","  1,084,881 ",,,"  35,934 ","  22,818 ","  85,477 "
  211 , להבים ,,  -   ,  -   ,  12 ,  12 ,  -   ,  -   ,"  1,044,920 ","  1,044,920 ",,,"  35,934 ","  22,818 ","  85,477 "
  295 , ג'סר א-זרקא ,,  -   ,  -   ,  12 ,  12 ,  -   ,  -   ,"  1,027,736 ","  1,027,736 ",,,"  35,934 ","  22,818 ","  85,477 "
  192 , אל קסום ,,  -   ,  -   ,  12 ,  12 ,  -   ,  -   ,"  1,017,317 ","  1,017,317 ",,,"  35,934 ","  22,818 ","  85,477 "
  110 , כפר יאסיף ,,  -   ,  -   ,  12 ,  12 ,  -   ,  -   ,"  983,490 ","  983,490 ",,,"  35,934 ","  22,818 ","  85,477 "
  425 , נווה מדבר ,,  -   ,  -   ,  11 ,  11 ,  -   ,  -   ,"  936,099 ","  936,099 ",,,"  35,934 ","  22,818 ","  85,477 "
  392 , זמר ,,  -   ,  -   ,  11 ,  11 ,  -   ,  -   ,"  900,817 ","  900,817 ",,,"  35,934 ","  22,818 ","  85,477 "
  70 , בוסתאן אל-מרג' ,,  -   ,  -   ,  10 ,  10 ,  -   ,  -   ,"  868,750 ","  868,750 ",,,"  35,934 ","  22,818 ","  85,477 "
  99 , יפיע ,,  -   ,  -   ,  10 ,  10 ,  -   ,  -   ,"  864,061 ","  864,061 ",,,"  35,934 ","  22,818 ","  85,477 "
  220 , רהט ,,  -   ,  -   ,  9 ,  9 ,  -   ,  -   ,"  811,943 ","  811,943 ",,,"  35,934 ","  22,818 ","  85,477 "
  75 , ביר אל-מכסור ,,  -   ,  -   ,  9 ,  9 ,  -   ,  -   ,"  765,550 ","  765,550 ",,,"  35,934 ","  22,818 ","  85,477 "
  131 , מזרעה ,,  -   ,  -   ,  9 ,  9 ,  -   ,  -   ,"  762,056 ","  762,056 ",,,"  35,934 ","  22,818 ","  85,477 "
  208 , חורה ,,  -   ,  -   ,  8 ,  8 ,  -   ,  -   ,"  699,324 ","  699,324 ",,,"  35,934 ","  22,818 ","  85,477 "
  394 , גני תקווה ,,  -   ,  -   ,  8 ,  8 ,  -   ,  -   ,"  688,477 ","  688,477 ",,,"  35,934 ","  22,818 ","  85,477 "
  108 , כפר מנדא ,,  -   ,  -   ,  8 ,  8 ,  -   ,  -   ,"  680,342 ","  680,342 ",,,"  35,934 ","  22,818 ","  85,477 "
  97 , יבנאל ,,  -   ,  -   ,  8 ,  8 ,  -   ,  -   ,"  669,176 ","  669,176 ",,,"  35,934 ","  22,818 ","  85,477 "
  130 , מגדל תפן ,,  1 ,  -   ,  7 ,  8 ,"  28,330 ",  -   ,"  579,256 ","  607,586 ",,,"  35,934 ","  22,818 ","  85,477 "
  79 , גוש חלב (ג'יש) ,,  -   ,  -   ,  7 ,  7 ,  -   ,  -   ,"  630,034 ","  630,034 ",,,"  35,934 ","  22,818 ","  85,477 "
  418 , קרית מלאכי ,,  7 ,  -   ,  -   ,  7 ,"  263,472 ",  -   ,  -   ,"  263,472 ",,,"  35,934 ","  22,818 ","  85,477 "
  176 , קצרין ,,  -   ,  -   ,  7 ,  7 ,  -   ,  -   ,"  571,254 ","  571,254 ",,,"  35,934 ","  22,818 ","  85,477 "
  280 , דיר אל-אסד ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  548,069 ","  548,069 ",,,"  35,934 ","  22,818 ","  85,477 "
  95 , טורעאן ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  532,756 ","  532,756 ",,,"  35,934 ","  22,818 ","  85,477 "
  132 , מטולה ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  522,970 ","  522,970 ",,,"  35,934 ","  22,818 ","  85,477 "
  171 , עראבה ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  509,583 ","  509,583 ",,,"  35,934 ","  22,818 ","  85,477 "
  102 , כאבול ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  485,531 ","  485,531 ",,,"  35,934 ","  22,818 ","  85,477 "
  81 , דיר חנא ,,  -   ,  -   ,  6 ,  6 ,  -   ,  -   ,"  485,391 ","  485,391 ",,,"  35,934 ","  22,818 ","  85,477 "
  424 , ערערה בנגב ,,  -   ,  -   ,  5 ,  5 ,  -   ,  -   ,"  456,469 ","  456,469 ",,,"  35,934 ","  22,818 ","  85,477 "
  217 , נתיבות ,,  3 ,  -   ,  3 ,  5 ,"  94,603 ",  -   ,"  221,966 ","  316,569 ",,,"  35,934 ","  22,818 ","  85,477 "
  160 , עילבון ,,  -   ,  -   ,  5 ,  5 ,  -   ,  -   ,"  444,634 ","  444,634 ",,,"  35,934 ","  22,818 ","  85,477 "
  125 , מג'דל שמס ,,  -   ,  -   ,  5 ,  5 ,  -   ,  -   ,"  425,676 ","  425,676 ",,,"  35,934 ","  22,818 ","  85,477 "
  133 , מסעדה ,,  -   ,  -   ,  5 ,  5 ,  -   ,  -   ,"  397,653 ","  397,653 ",,,"  35,934 ","  22,818 ","  85,477 "
  374 , מזכרת בתיה ,,  -   ,  -   ,  4 ,  4 ,  -   ,  -   ,"  360,227 ","  360,227 ",,,"  35,934 ","  22,818 ","  85,477 "
  60 , אבו סנאן ,,  -   ,  -   ,  4 ,  4 ,  -   ,  -   ,"  331,741 ","  331,741 ",,,"  35,934 ","  22,818 ","  85,477 "
  409 , בית דגן ,,  -   ,  -   ,  4 ,  4 ,  -   ,  -   ,"  306,551 ","  306,551 ",,,"  35,934 ","  22,818 ","  85,477 "
  382 , כוכב יאיר ,,  -   ,  -   ,  4 ,  4 ,  -   ,  -   ,"  300,162 ","  300,162 ",,,"  35,934 ","  22,818 ","  85,477 "
  401 , ג'לג'וליה ,,  -   ,  -   ,  3 ,  3 ,  -   ,  -   ,"  288,968 ","  288,968 ",,,"  35,934 ","  22,818 ","  85,477 "
  368 , פרדסיה ,,  -   ,  -   ,  3 ,  3 ,  -   ,  -   ,"  285,915 ","  285,915 ",,,"  35,934 ","  22,818 ","  85,477 "
  223 , שדרות ,,  -   ,  -   ,  3 ,  3 ,  -   ,  -   ,"  281,145 ","  281,145 ",,,"  35,934 ","  22,818 ","  85,477 "
  172 , פסוטה ,,  -   ,  -   ,  3 ,  3 ,  -   ,  -   ,"  240,460 ","  240,460 ",,,"  35,934 ","  22,818 ","  85,477 "
  174 , פקיעין (בוקייעה) ,,  -   ,  -   ,  3 ,  3 ,  -   ,  -   ,"  223,316 ","  223,316 ",,,"  35,934 ","  22,818 ","  85,477 "
  214 , לקיה ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  199,805 ","  199,805 ",,,"  35,934 ","  22,818 ","  85,477 "
  91 , חורפיש ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  198,859 ","  198,859 ",,,"  35,934 ","  22,818 ","  85,477 "
  77 , בוקעאתא ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  168,159 ","  168,159 ",,,"  35,934 ","  22,818 ","  85,477 "
  225 , תל שבע ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  164,374 ","  164,374 ",,,"  35,934 ","  22,818 ","  85,477 "
  186 , שעב ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  147,293 ","  147,293 ",,,"  35,934 ","  22,818 ","  85,477 "
  10 , אבו גוש ,,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,"  144,227 ","  144,227 ",,,"  35,934 ","  22,818 ","  85,477 "
  76 , בועיינה-נוג'ידאת ,,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,"  112,246 ","  112,246 ",,,"  35,934 ","  22,818 ","  85,477 "
  96 , יאנוח - ג'ת ,,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,"  100,869 ","  100,869 ",,,"  35,934 ","  22,818 ","  85,477 "
  222 , שגב שלום ,,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,"  81,522 ","  81,522 ",,,"  35,934 ","  22,818 ","  85,477 "
  276 , רכסים ,,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,"  80,644 ","  80,644 ",,,"  35,934 ","  22,818 ","  85,477 "
  107 , כפר ורדים ,,  -   ,  -   ,  1 ,  1 ,  -   ,  -   ,"  57,219 ","  57,219 ",,,"  35,934 ","  22,818 ","  85,477 "
  98 , יסוד המעלה ,,  -   ,  -   ,  0 ,  0 ,  -   ,  -   ,"  28,588 ","  28,588 ",,,"  35,934 ","  22,818 ","  85,477 "
  381 , כפר ברא ,,  -   ,  -   ,  0 ,  0 ,  -   ,  -   ,"  11,779 ","  11,779 ",,,"  35,934 ","  22,818 ","  85,477 "
  284 , ערערה ,,  -   ,  -   ,  0 ,  0 ,  -   ,  -   ,"  4,986 ","  4,986 ",,,"  35,934 ","  22,818 ","  85,477 "
  14 , חריש ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  62 , אכסאל ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  66 , אל-בטוף ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  74 , בית ג'ן ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  78 , ג'וליס ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  80 , דבוריה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  90 , זרזיר ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  94 , טובא-זנגריה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  101 , ירכא ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  106 , כעביה - טבאש - חג'אג'רה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  134 , מעיליא ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  157 , סאג'ור ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  159 , ר'ג'ר ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  161 , עילוט ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  162 , עין מאהל ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  163 , עין קיניה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  184 , שבלי - אום אל-ר'נם ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  281 , בענה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  297 ," בסמ""ה ",,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  300 , אלונה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  350 , קרית יערים ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  403 , אליכין ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  416 ," בני עי""ש ",,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,"  35,934 ","  22,818 ","  85,477 "
  422 , כסייפה ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,
