 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  210 , ירוחם ,,  253 ,  -   ,  7 ,  260 ,"  9,079,399 ",  -   ,"  614,989 ","  9,694,388 ",,,"  35,934 ","  22,818 ","  85,477 "
  145 , מרום הגליל ,,  80 ,  -   ,  178 ,  258 ,"  2,891,271 ",  -   ,"  15,186,616 ","  18,077,888 ",,,"  35,934 ","  22,818 ","  85,477 "
  37 , הרצליה ,,  -   ,  -   ,  256 ,  256 ,  -   ,  -   ,"  21,876,902 ","  21,876,902 ",,,"  35,934 ","  22,818 ","  85,477 "
  369 , עמק לוד ,,  -   ,  -   ,  248 ,  248 ,  -   ,  -   ,"  21,192,609 ","  21,192,609 ",,,"  35,934 ","  22,818 ","  85,477 "
  82 , הגלבוע ,,  79 ,  -   ,  161 ,  240 ,"  2,835,848 ",  -   ,"  13,730,327 ","  16,566,175 ",,,"  35,934 ","  22,818 ","  85,477 "
  224 , שפיר ,,  -   ,  -   ,  239 ,  239 ,  -   ,  -   ,"  20,470,645 ","  20,470,645 ",,,"  35,934 ","  22,818 ","  85,477 "
  265 , זבולון ,,  7 ,  -   ,  225 ,  232 ,"  238,794 ",  -   ,"  19,243,557 ","  19,482,350 ",,,"  35,934 ","  22,818 ","  85,477 "
  270 , קרית אתא ,,  105 ,  -   ,  125 ,  230 ,"  3,768,491 ",  -   ,"  10,717,122 ","  14,485,613 ",,,"  35,934 ","  22,818 ","  85,477 "
  388 , חוף השרון ,,  -   ,  -   ,  228 ,  228 ,  -   ,  -   ,"  19,506,927 ","  19,506,927 ",,,"  35,934 ","  22,818 ","  85,477 "
  391 , חבל יבנה ,,  22 ,  -   ,  206 ,  228 ,"  779,925 ",  -   ,"  17,617,277 ","  18,397,202 ",,,"  35,934 ","  22,818 ","  85,477 "
  361 , רחובות ,,  74 ,  -   ,  144 ,  218 ,"  2,661,930 ",  -   ,"  12,292,634 ","  14,954,564 ",,,"  35,934 ","  22,818 ","  85,477 "
  73 , עמק המעיינות ,,  123 ,  -   ,  84 ,  207 ,"  4,410,599 ",  -   ,"  7,184,124 ","  11,594,724 ",,,"  35,934 ","  22,818 ","  85,477 "
  219 , קרית גת ,,  163 ,  -   ,  34 ,  198 ,"  5,874,509 ",  -   ,"  2,930,200 ","  8,804,709 ",,,"  35,934 ","  22,818 ","  85,477 "
  206 , חבל אילות ,,  2 ,  -   ,  185 ,  187 ,"  81,843 ",  -   ,"  15,783,143 ","  15,864,986 ",,,"  35,934 ","  22,818 ","  85,477 "
  86 , הגליל העליון ,,  3 ,  -   ,  184 ,  187 ,"  110,370 ",  -   ,"  15,702,546 ","  15,812,916 ",,,"  35,934 ","  22,818 ","  85,477 "
